date,rile_focused,name
201309,-0.04999999999999999,AfD
200209,0.36644295302013424,CDU/CSU
200509,0.4962593516209477,CDU/CSU
200909,0.18363064008394545,CDU/CSU
201309,0.048034934497816574,CDU/CSU
200209,-0.3448275862068966,Die Linke
200509,-0.5986622073578595,Die Linke
200909,-0.5,Die Linke
201309,-0.6056737588652482,Die Linke
200209,0.08708133971291866,FDP
200509,0.32967032967032966,FDP
200909,0.08304498269896196,FDP
201309,0.2493112947658402,FDP
200209,-0.287001287001287,Grüne
200509,-0.22439585730724976,Grüne
200909,-0.2950423216444982,Grüne
201309,-0.4048706240487063,Grüne
200209,0.07746478873239437,SPD
200509,-0.043879907621247126,SPD
200909,-0.36135957066189617,SPD
201309,-0.40058651026392966,SPD
